0.000000,0.062658,1.370422E-5
1.534947,0.056561,1.319949E-5
3.062637,0.054455,1.251709E-5
4.590349,0.053608,1.169465E-5
6.114949,0.052040,1.082078E-5
7.739034,0.051816,9.972626E-6
9.272179,0.050573,9.106121E-6
10.802138,0.049074,8.176989E-6
12.328084,0.047174,7.245395E-6
13.859026,0.045297,6.293733E-6
15.378981,0.042410,5.315444E-6
16.913316,0.037998,4.332945E-6
18.442526,0.031855,3.316999E-6
19.963095,0.020980,2.243074E-6
21.496534,0.001601,1.135932E-6
23.119854,-0.025716,3.867252E-9
24.838031,-0.056374,-1.099738E-6
26.371581,-0.079205,-2.285306E-6
27.910085,-0.088112,-3.918622E-6
29.428033,-0.085000,-6.071469E-6
30.947940,-0.073900,-8.707650E-6
32.662183,-0.061299,-1.161559E-5
34.189825,-0.054852,-1.476648E-5
35.712618,-0.053747,-1.805621E-5
37.248091,-0.054592,-2.153412E-5
38.785447,-0.056391,-2.526317E-5
40.322193,-0.058022,-2.927021E-5
41.855976,-0.059506,-3.359113E-5
43.392887,-0.061383,-3.809146E-5
44.930768,-0.062297,-4.292473E-5
46.469969,-0.063126,-4.828209E-5
